155,150
375,164
183,150
205,150
205,171
226,171
226,186
226,207
226,235
226,264
226,292
226,314
226,335
205,335
190,335
190,328
176,328
176,299
155,299
155,328
155,356
183,356
219,356
240,356
269,356
290,356
387,136
318,356
318,335
318,328
318,299
297,299
290,328
290,335
297,328
254,335
254,314
254,292
254,271
254,243
254,221
254,193
254,171
276,171
296,150
276,150
375,150
308,150
354,164
338,174
354,174
338,200
338,221
354,221
354,200
361,200
361,186
383,186
383,179
404,179
404,186
418,186
418,200
432,200
432,221
418,221
418,235
397,235
397,243
375,243
375,257
368,257
368,264
347,264
347,278
336,278
336,328
347,328
347,342
368,342
368,353
418,353
418,342
432,342
432,356
447,356
447,321
447,292
432,292
432,314
418,314
418,321
397,321
397,333
375,333
375,321
361,321
361,299
375,299
375,285
397,285
397,271
418,271
418,264
439,264
439,250
454,250
454,243
461,243
461,214
461,193
447,193
447,179
439,179
439,167
419,167
419,150
439,150
454,150
475,150
475,171
496,171
496,193
496,214
496,243
496,271
496,292
496,317
496,335
470,335
470,356
496,356
347,150
539,356
560,356
589,356
589,342
603,342
610,342
610,335
610,321
624,321
624,278
610,278
610,257
589,257
589,250
575,250
560,250
542,250
542,264
560,264
575,264
575,271
582,271
582,285
596,285
560,335
596,314
582,314
582,321
575,321
575,335
525,335
525,314
525,299
525,281
525,233
525,214
525,193
525,171
546,171
546,150
568,150
475,160
603,150
624,150
624,136
596,136
575,136
553,136
532,136
575,356
489,136
468,136
447,136
425,136
404,136
370,136
361,150
340,136
326,136
301,136
276,136
254,136
315,136
212,136
190,136
338,150
155,136
624,299
318,321
155,314
311,356
355,136
318,314
362,164
254,356
383,333
447,335
470,345
525,250
546,335
525,261
525,356
336,298
336,313
293,136
336,306
425,264
391,353
482,335
429,167
330,150
368,150
